id,trip.trip_id,trip.route_id,trip.direction_id,trip.start_time,trip.start_date,trip.schedule_relationship,vehicle.id,vehicle.label,vehicle.license_plate,position.latitude,position.longitude,position.bearing,position.odometer,position.speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status
y3139,49301133,350,0,12:56:00,20211129,SCHEDULED,y3139,3139,,42.487937927246094,-71.22521209716797,0.0,0.0,0.0,47,49848,IN_TRANSIT_TO,1638211316,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1990,49467073,101,1,13:30:00,20211129,SCHEDULED,y1990,1990,,42.418495178222656,-71.109375,0.0,0.0,0.0,16,5031,IN_TRANSIT_TO,1638211305,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1254,49394522,28,1,,,SCHEDULED,y1254,1254,,42.33757781982422,-71.08860778808594,0.0,0.0,0.0,1,17862,IN_TRANSIT_TO,1638211321,UNKNOWN_CONGESTION_LEVEL,EMPTY
y2004,49300281,77,0,13:36:00,20211129,SCHEDULED,y2004,2004,,42.381385803222656,-71.11956787109375,25.0,0.0,0.0,3,2312,IN_TRANSIT_TO,1638211322,UNKNOWN_CONGESTION_LEVEL,EMPTY
G-10210,49246053-20:45-2BKHFenwayReservoirGLBNoGLX,Green-B,1,13:22:00,20211129,SCHEDULED,G-10210,3811,,42.351600646972656,-71.12007141113281,135.0,0.0,4.599999904632568,115,170136,STOPPED_AT,1638211289,UNKNOWN_CONGESTION_LEVEL,
G-10079,ADDED-1580962989,Green-E,1,12:29:20,20211129,ADDED,G-10079,3834-3616,,42.35614013671875,-71.06243133544922,30.0,0.0,0.0,610,70201,INCOMING_AT,1638211306,UNKNOWN_CONGESTION_LEVEL,
1724,CR-502343-015,CR-Middleborough,0,13:45:00,20211129,SCHEDULED,1724,1724,,42.35076141357422,-71.0554428100586,194.0,0.0,0.0,0,NEC-2287-11,STOPPED_AT,1638211302,UNKNOWN_CONGESTION_LEVEL,
y1118,49394938,742,1,,,SCHEDULED,y1118,1118,,42.35356521606445,-71.05267333984375,0.0,0.0,0.0,2,74612,IN_TRANSIT_TO,1638211327,UNKNOWN_CONGESTION_LEVEL,
y2036,49467686,111,0,13:40:00,20211129,SCHEDULED,y2036,2036,,42.364830017089844,-71.05836486816406,269.0,0.0,0.0,2,2832,IN_TRANSIT_TO,1638211322,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1615,49323692,30,1,13:30:00,20211129,SCHEDULED,y1615,1615,,42.2861328125,-71.12761688232422,215.0,0.0,0.0,20,636,IN_TRANSIT_TO,1638211327,UNKNOWN_CONGESTION_LEVEL,EMPTY
y3125,49299839,70,1,13:27:00,20211129,SCHEDULED,y3125,3125,,42.37443542480469,-71.23656463623047,155.0,0.0,0.0,14,86944,IN_TRANSIT_TO,1638211323,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1289,49393852,751,1,,20211129,SCHEDULED,y1289,1289,,42.35240936279297,-71.05615234375,45.0,0.0,0.0,1,6538,IN_TRANSIT_TO,1638211281,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1757,49181099,66,1,13:37:00,20211129,SCHEDULED,y1757,1757,,42.369590759277344,-71.12263488769531,213.0,0.0,0.0,4,2551,IN_TRANSIT_TO,1638211321,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0712,49177705,747,0,,,SCHEDULED,y0712,0712,,42.384490966796875,-71.07650756835938,0.0,0.0,0.0,1,29004,IN_TRANSIT_TO,1638211211,UNKNOWN_CONGESTION_LEVEL,
y0667,49465975,411,0,13:15:00,20211129,SCHEDULED,y0667,0667,,42.439605712890625,-71.03016662597656,185.0,0.0,0.0,21,48575,IN_TRANSIT_TO,1638211326,UNKNOWN_CONGESTION_LEVEL,
y0812,49379371,214216,0,13:17:00,20211129,SCHEDULED,y0812,0812,,42.26886749267578,-70.95305633544922,75.0,0.0,0.0,54,3261,IN_TRANSIT_TO,1638211323,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1834,49183123,23,0,13:40:00,20211129,SCHEDULED,y1834,1834,,42.31623077392578,-71.08303833007812,225.0,0.0,0.0,2,410,IN_TRANSIT_TO,1638211282,UNKNOWN_CONGESTION_LEVEL,
G-10074,ADDED-1580963059,Green-B,1,13:41:56,20211129,ADDED,G-10074,3699-3885,,42.35245132446289,-71.06482696533203,20.0,0.0,0.0,590,70158,STOPPED_AT,1638211310,UNKNOWN_CONGESTION_LEVEL,
R-546D792D,ADDED-1580963061,Red,1,13:42:11,20211129,ADDED,R-546D792D,1610,,42.28322982788086,-71.06298828125,330.0,0.0,0.0,50,70094,IN_TRANSIT_TO,1638211331,UNKNOWN_CONGESTION_LEVEL,
y1206,49394485,28,0,13:34:00,20211129,SCHEDULED,y1206,1206,,42.32914352416992,-71.08491516113281,0.0,0.0,0.0,7,40001,IN_TRANSIT_TO,1638211289,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1966,49468244,104,0,13:29:00,20211129,SCHEDULED,y1966,1966,,42.40813446044922,-71.0544662475586,37.0,0.0,0.0,10,5510,IN_TRANSIT_TO,1638211325,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0814,49379088,240,0,13:45:00,20211129,SCHEDULED,y0814,0814,,42.2828254699707,-71.05464172363281,270.0,0.0,0.0,1,334,IN_TRANSIT_TO,1638211319,UNKNOWN_CONGESTION_LEVEL,
y1873,49183101,23,1,13:16:00,20211129,SCHEDULED,y1873,1873,,42.3269157409668,-71.0831527709961,6.0,0.0,0.0,24,21151,IN_TRANSIT_TO,1638211324,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0836,49378732,230,0,13:00:00,20211129,SCHEDULED,y0836,0836,,42.154056549072266,-71.00872802734375,0.0,0.0,0.0,55,3967,IN_TRANSIT_TO,1638211318,UNKNOWN_CONGESTION_LEVEL,EMPTY
y2043,49300032,69,0,13:40:00,20211129,SCHEDULED,y2043,2043,,42.37130355834961,-71.08183288574219,269.0,0.0,0.0,3,1417,IN_TRANSIT_TO,1638211323,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1955,49299414,83,1,13:30:00,20211129,SCHEDULED,y1955,1955,,42.381229400634766,-71.10987091064453,131.0,0.0,0.0,17,2436,IN_TRANSIT_TO,1638211321,UNKNOWN_CONGESTION_LEVEL,EMPTY
B-546D78ED,49418256,Blue,1,13:31:00,20211129,SCHEDULED,B-546D78ED,0718,,42.380489349365234,-71.01699829101562,60.0,0.0,0.0,70,70052,IN_TRANSIT_TO,1638211310,UNKNOWN_CONGESTION_LEVEL,
y1911,49181851,10,1,13:10:00,20211129,SCHEDULED,y1911,1911,,42.339473724365234,-71.0726547241211,0.0,0.0,0.0,31,1381,IN_TRANSIT_TO,1638211326,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0734,49177342,65,1,14:05:00,20211129,SCHEDULED,y0734,0734,,42.340755462646484,-71.06410217285156,90.0,0.0,0.0,1,1026,IN_TRANSIT_TO,1638211266,UNKNOWN_CONGESTION_LEVEL,
y1722,49181291,15,1,13:57:00,20211129,SCHEDULED,y1722,1722,,42.34104919433594,-71.05780792236328,0.0,0.0,0.0,1,15100,IN_TRANSIT_TO,1638211299,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1459,49370936,120,1,13:40:00,20211129,SCHEDULED,y1459,1459,,42.3856201171875,-71.01010131835938,246.0,0.0,0.0,3,5839,IN_TRANSIT_TO,1638211320,UNKNOWN_CONGESTION_LEVEL,EMPTY
y0824,49379153,236,0,13:40:00,20211129,SCHEDULED,y0824,0824,,42.25185012817383,-71.00507354736328,163.0,0.0,0.0,2,3326,IN_TRANSIT_TO,1638211325,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1116,49395467,743,1,13:12:00,20211129,SCHEDULED,y1116,1116,,42.353515625,-71.05230712890625,0.0,0.0,0.0,10,74617,IN_TRANSIT_TO,1638211325,UNKNOWN_CONGESTION_LEVEL,EMPTY
y1817,49182890,23,1,13:31:00,20211129,SCHEDULED,y1817,1817,,42.308631896972656,-71.08304595947266,0.0,0.0,0.0,15,386,IN_TRANSIT_TO,1638211320,UNKNOWN_CONGESTION_LEVEL,EMPTY
