id,trip.trip_id,trip.route_id,trip.direction_id,trip.start_time,trip.start_date,trip.schedule_relationship,vehicle.id,vehicle.label,vehicle.license_plate,position.latitude,position.longitude,position.bearing,position.odometer,position.speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status
1638211327_13608,9416089__MCOB-DO:121:0:Weekday:2:21SEP:31007:12345,222,1,,20211129,SCHEDULED,13608,,,48.05933380126953,-122.2746810913086,0.0,0.0,0.0,5,13,IN_TRANSIT_TO,1638211255,UNKNOWN_CONGESTION_LEVEL,
1638211327_13602,9415493__MCOB-DO:121:0:Weekday:2:21SEP:31009:12345,240,1,,20211129,SCHEDULED,13602,,,48.208065032958984,-122.33670043945312,0.0,0.0,0.0,20,1410,IN_TRANSIT_TO,1638211263,UNKNOWN_CONGESTION_LEVEL,
1638211327_13600,9415524__MCOB-DO:121:0:Weekday:2:21SEP:31010:12345,240,0,,20211129,SCHEDULED,13600,,,48.166751861572266,-122.35136413574219,0.0,0.0,0.0,18,2923,IN_TRANSIT_TO,1638211255,UNKNOWN_CONGESTION_LEVEL,
1638211327_17115,9415437__MCOB-DO:121:0:Weekday:2:21SEP:41035:12345,271,1,,20211129,SCHEDULED,17115,,,47.894065856933594,-122.03116607666016,0.0,0.0,0.0,19,552,IN_TRANSIT_TO,1638211246,UNKNOWN_CONGESTION_LEVEL,
1638211327_17122,9415448__MCOB-DO:121:0:Weekday:2:21SEP:41046:12345,271,0,,20211129,SCHEDULED,17122,,,47.877601623535156,-122.01730346679688,0.0,0.0,0.0,35,1926,IN_TRANSIT_TO,1638211258,UNKNOWN_CONGESTION_LEVEL,
1638211327_15106,9415449__MCOB-DO:121:0:Weekday:2:21SEP:41019:12345,271,0,,20211129,SCHEDULED,15106,,,47.857784271240234,-121.70183563232422,0.0,0.0,0.0,1,570,STOPPED_AT,1638211268,UNKNOWN_CONGESTION_LEVEL,
1638211327_19114,9415265__MCOB-DO:121:0:Weekday:2:21SEP:41032:12345,280,1,,20211129,SCHEDULED,19114,,,47.974849700927734,-122.1974868774414,0.0,0.0,0.0,1,2342,STOPPED_AT,1638211245,UNKNOWN_CONGESTION_LEVEL,
1638211327_28108,9415268__MCOB-DO:121:0:Weekday:2:21SEP:41067:12345,280,1,,20211129,SCHEDULED,28108,,,48.08658218383789,-121.98876953125,0.0,0.0,0.0,42,3151,IN_TRANSIT_TO,1638211263,UNKNOWN_CONGESTION_LEVEL,
1638211327_15100,9415279__MCOB-DO:121:0:Weekday:2:21SEP:41007:12345,280,0,,20211129,SCHEDULED,15100,,,47.99781799316406,-122.1041488647461,0.0,0.0,0.0,40,1833,IN_TRANSIT_TO,1638211248,UNKNOWN_CONGESTION_LEVEL,
1638211327_91503,9412478__KPOB-CS:221:0:Weekday:2:21SEP:85022:12345,512,0,,20211129,SCHEDULED,91503,,,47.743064880371094,-122.32987976074219,0.0,0.0,0.0,7,2191,IN_TRANSIT_TO,1638211252,UNKNOWN_CONGESTION_LEVEL,
1638211327_91909,9412479__KPOB-CS:221:0:Weekday:2:21SEP:85029:12345,512,0,,20211129,SCHEDULED,91909,,,47.81623458862305,-122.2968521118164,0.0,0.0,0.0,5,2422,IN_TRANSIT_TO,1638211271,UNKNOWN_CONGESTION_LEVEL,
